,0
0,1.2
1,-647.3644306068333
2,426.4927819765654
3,567.4856274311879
4,865.1232414755723
5,826.4168607357014
6,334.90698849814856
7,179.4730697854832
8,-1077.1235841042164
9,-960.8192279405865
10,-705.3185997944555
11,-1313.041145485763
12,-294.16166660291015
13,-1921.8300022459034
14,-2216.6883711637015
15,-1603.4978689416935
16,-1430.1461895897523
17,112.86121903048206
18,1671.312368492899
19,1951.0531381648848
20,1864.5924055419641
21,1746.784861149341
22,1552.0773288284524
23,1223.2887181436415
24,1024.804923361851
25,1455.1425676947767
26,649.7418621647763
27,593.789384187268
28,737.2033218946017
29,96.14137022840066
30,401.0826890807769
31,-170.58418756895736
32,-284.96014261591887
33,-1419.1907382796899
34,-1878.1453078466081
35,-2366.7017787535374
36,-280.9105430497043
37,-790.0135794391759
38,-606.9229072067576
39,-851.499418734414
40,-984.0546367996117
41,-326.11232042212896
42,1037.8948420763616
43,1175.5041626065417
44,34.72271932847639
45,208.43296606020726
46,470.2244591675587
47,763.898893700849
48,997.8364779058027
49,1428.303751157224
50,855.3861231164868
51,447.5477601437291
52,1192.373754294786
53,765.4062907706748
54,1678.8719957413514
55,1715.8883971811672
56,979.4562320726125
57,714.1094981955999
58,2078.420965493394
59,2931.9412032612704
60,3459.443419013749
61,3321.3358618150496
62,3319.330903436774
63,3577.426681542655
64,3254.3986989744676
65,2982.1383415469536
66,3358.3052304771063
67,3924.61239580574
68,4451.748591926705
69,3719.370678082476
70,3233.3401863949225
71,3080.731899426351
72,2912.0395462218667
73,4777.499726802637
74,4384.582872187348
75,4589.5621701571745
76,4392.691183722619
77,3156.38569960367
78,2939.5177245744335
79,1584.8621537107826
80,599.3387693775746
81,1434.8957665716964
82,1673.9141083093434
83,739.9770834445569
84,520.1516986838983
85,-632.5439899433036
86,-1028.99796994408
87,-1287.704080003754
88,-1063.1665798937997
89,-1453.3973954322403
90,-1029.9459117870572
91,-1798.5324676628834
92,-1453.5128007056173
93,-1043.6562942922556
94,-367.2563012379876
95,553.3381124319535
96,964.5608570069
97,247.304199235415
98,470.07837757581876
99,803.8616683697694
100,1317.5144708793937
